grade1,grade2,grade3,attendance_rate,study_hours,passed
53,57,99,0.86,11.9,1
75,82,97,0.63,11.4,1
82,87,34,0.75,8.8,1
89,89,69,0.87,10.7,1
92,88,99,0.47,5.3,1
61,51,50,0.61,7.4,0
62,37,57,0.73,4.0,0
96,78,32,0.6,10.7,1
47,71,52,0.59,6.2,0
54,56,48,0.57,6.9,0
83,68,79,0.54,10.5,1
87,54,87,0.91,9.8,1
96,67,49,0.95,4.5,1
75,53,82,0.82,2.0,1
53,53,38,0.42,2.8,0
61,89,33,0.87,4.7,1
76,79,70,0.72,4.4,1
52,95,54,0.85,1.4,1
95,43,63,0.66,5.8,0
56,82,38,0.42,2.2,0
31,61,42,0.81,3.4,1
46,77,38,0.67,9.7,0
62,68,33,0.92,6.4,0
38,69,63,0.84,5.1,0
72,71,36,0.62,3.0,0
77,37,44,0.83,10.5,0
68,55,67,0.7,10.9,1
71,41,81,0.52,6.7,1
55,72,36,0.65,11.1,0
79,80,74,0.53,6.1,1
54,92,88,0.4,2.2,0
53,78,50,0.55,1.2,0
42,56,57,0.53,2.4,0
89,38,32,0.4,7.8,0
36,68,43,0.87,4.5,0
86,94,31,0.45,8.1,1
65,36,58,0.67,6.6,0
74,96,47,0.65,4.7,1
49,39,66,0.51,3.4,0
94,82,74,0.98,1.9,1
37,86,74,0.76,9.6,1
45,56,53,0.89,10.0,0
43,83,75,0.7,7.0,1
44,33,41,0.83,2.7,0
95,52,82,0.98,3.9,1
61,77,74,0.61,11.5,1
92,71,61,0.7,3.5,1
80,32,47,0.71,1.6,0
54,32,42,1.0,7.1,0
87,57,33,0.54,3.9,0
92,92,52,0.81,11.5,1
91,60,91,0.48,7.3,1
51,39,83,0.96,11.6,0
87,78,84,0.75,9.6,1
87,50,98,0.92,9.0,1
78,82,69,0.94,10.1,1
81,83,43,0.73,7.7,1
71,86,57,0.81,1.1,1
99,49,96,0.82,5.3,1
44,78,58,0.68,3.4,0
83,36,90,0.66,5.8,1
89,58,97,0.51,6.2,1
37,77,38,0.63,2.4,0
82,42,46,0.99,1.3,0
89,32,78,0.56,2.5,0
34,31,92,0.86,10.4,0
97,45,75,0.44,9.3,1
35,35,42,0.68,9.8,0
76,74,74,0.44,4.0,0
84,34,82,0.69,3.6,0
69,85,46,0.42,1.4,0
81,61,76,0.77,6.2,1
45,78,91,0.75,5.2,1
42,42,79,0.88,10.2,1
59,59,72,0.75,8.5,1
48,54,97,0.96,2.6,1
46,89,57,0.87,11.9,1
92,88,74,0.48,9.5,1
48,57,70,0.56,8.9,0
87,87,65,0.42,3.4,1
84,49,62,0.63,11.0,1
91,63,54,0.71,6.2,1
52,34,48,0.97,4.3,0
38,89,76,0.71,8.2,1
41,72,62,0.87,3.3,1
30,86,96,0.56,11.0,0
87,86,43,0.49,10.4,0
30,83,62,0.89,6.1,0
63,74,71,0.55,3.1,1
77,66,94,0.92,6.5,1
30,77,76,0.5,2.6,0
45,83,64,0.91,4.0,1
90,77,61,0.86,6.3,1
93,35,84,0.77,1.2,1
92,63,83,0.91,9.4,1
98,92,80,0.6,3.2,1
51,77,88,0.5,10.5,1
96,52,43,0.49,1.2,0
55,42,47,0.56,6.9,0
45,76,84,0.67,9.5,1
80,73,85,0.93,3.6,1
86,61,78,0.45,8.8,1
58,55,89,0.95,8.9,1
98,82,82,0.96,8.0,1
76,43,35,0.84,5.0,1
91,81,99,0.94,9.6,1
98,65,37,0.86,7.9,1
45,37,44,0.72,7.5,0
77,69,55,0.76,10.0,1
68,51,68,0.78,3.7,1
62,45,32,0.48,3.6,0
52,89,86,0.52,5.3,1
39,89,39,0.71,1.8,0
98,39,32,0.47,4.7,0
63,54,75,0.98,5.5,1
81,60,51,0.7,6.4,0
39,50,96,0.63,3.8,0
48,62,94,0.49,11.0,1
87,60,48,0.65,4.1,1
30,50,91,0.58,10.4,0
98,65,86,0.45,5.9,0
33,94,42,0.98,8.9,0
45,33,45,0.56,2.2,0
53,97,45,0.81,7.0,1
31,33,81,0.45,11.6,0
61,38,70,0.95,8.3,0
53,59,77,0.75,10.0,1
41,74,68,0.79,3.9,1
79,33,42,0.87,9.8,0
64,98,33,0.76,4.9,1
62,52,72,0.44,6.3,1
62,45,75,0.66,3.1,0
90,51,76,0.56,6.3,1
80,77,82,0.69,6.7,1
72,91,54,0.64,7.8,1
41,89,70,0.9,10.6,1
96,34,32,0.55,4.4,0
94,36,42,0.52,11.8,0
62,80,47,0.97,10.3,1
69,94,66,0.97,5.4,1
72,38,72,1.0,3.5,1
73,74,63,0.74,1.8,1
58,76,84,0.47,3.6,1
42,96,81,0.93,10.7,1
41,53,65,0.49,4.2,0
75,39,83,0.49,2.5,1
31,77,88,0.52,1.2,0
64,64,81,0.79,4.3,1
37,83,48,0.46,3.4,0
55,45,41,0.87,2.1,0
63,82,40,0.43,11.5,1
36,69,77,0.47,3.9,1
97,49,45,0.66,1.1,0
87,98,76,0.63,11.4,1
58,74,96,0.99,7.4,1
65,35,60,0.98,1.9,0
50,98,37,0.51,1.3,0
65,78,90,0.97,2.2,1
39,68,73,0.82,7.5,0
53,31,79,0.65,1.7,0
93,68,64,0.84,7.2,1
78,50,90,0.94,8.2,1
65,69,84,0.51,2.6,0
53,83,95,0.52,6.4,1
52,41,43,0.65,11.6,0
91,66,33,0.5,10.2,1
66,67,46,0.62,9.0,0
41,44,98,0.79,6.7,1
84,36,53,0.89,5.3,0
42,79,78,0.58,6.0,1
52,94,84,0.57,9.4,1
59,96,52,0.87,7.1,1
46,73,41,0.63,9.4,0
91,60,40,0.89,11.7,1
42,72,58,1.0,8.0,0
88,77,91,0.99,7.6,1
48,90,82,0.8,5.5,1
78,39,77,0.63,3.2,1
41,58,95,0.44,5.1,0
90,77,77,0.84,6.7,1
48,91,88,0.99,1.4,1
38,42,86,0.44,6.2,0
57,73,32,0.4,10.5,0
81,76,61,0.9,11.7,1
45,93,37,0.46,10.4,0
98,82,59,0.45,2.9,0
41,73,44,0.95,2.7,0
54,57,84,0.45,5.3,1
81,31,67,0.47,3.5,0
82,86,44,0.74,8.4,1
52,86,59,0.85,1.9,1
45,63,75,0.64,5.9,1
86,87,93,0.65,4.1,1
68,81,55,0.78,7.5,1
82,58,96,0.7,9.8,1
71,64,65,0.41,11.2,1
87,77,60,0.47,11.6,0
68,62,69,0.75,4.9,1
43,38,75,0.88,10.4,0
34,77,71,0.86,7.5,1
64,96,47,0.84,8.6,1
47,65,65,0.86,10.4,1
38,73,79,0.43,2.4,0
87,89,90,0.94,11.4,1
46,92,69,0.93,7.0,1
36,34,32,0.72,4.7,1
75,69,36,0.55,4.7,0
42,48,60,0.76,9.3,0
69,76,94,0.73,8.5,1
71,94,93,0.53,9.0,1
38,96,32,0.76,3.8,0
79,47,64,0.88,2.9,1
56,79,44,0.88,8.9,0
95,59,50,0.44,4.3,1
34,95,91,0.52,3.4,1
58,34,57,0.8,3.4,0
66,71,33,0.92,2.6,0
67,34,42,0.71,5.7,0
37,79,80,0.82,3.9,1
94,87,77,0.41,10.8,1
46,37,68,0.77,8.6,0
74,60,96,0.98,9.2,1
33,41,87,0.8,5.4,0
65,50,31,0.95,7.6,0
99,91,54,0.74,6.5,1
60,62,40,0.91,2.8,0
48,55,30,0.47,1.5,0
90,69,77,0.47,8.5,1
83,94,77,0.47,2.3,0
68,88,39,0.69,1.6,0
48,44,59,0.6,5.9,0
68,30,64,0.83,9.1,0
96,40,48,0.94,9.5,1
74,84,82,0.77,10.6,1
42,31,63,0.53,3.2,0
87,94,61,0.96,11.8,1
49,73,35,0.72,9.4,0
90,45,42,0.83,2.7,0
68,51,93,0.93,10.2,1
30,47,36,0.99,6.5,0
32,76,74,0.7,1.7,0
91,59,74,0.88,2.5,1
92,39,94,0.74,5.8,1
54,87,48,0.69,6.8,1
85,91,76,0.72,11.4,1
62,35,75,0.69,3.4,0
67,96,58,0.65,6.2,0
35,70,90,0.83,3.5,1
87,72,94,0.55,7.1,1
73,47,52,0.77,11.0,0
74,87,80,0.83,7.2,1
61,89,92,0.94,6.6,1
74,56,51,0.6,9.3,1
90,97,62,0.92,2.6,1
76,51,73,0.97,11.0,1
50,53,36,0.79,7.4,0
65,69,31,0.86,8.5,0
48,95,46,0.64,10.0,1
49,69,94,0.97,8.0,1
86,35,87,0.8,8.1,1
47,47,59,0.59,9.0,0
76,59,55,0.64,1.6,0
78,50,64,0.77,5.2,1
43,91,92,0.54,11.6,1
44,39,57,0.85,3.8,0
60,42,54,0.53,7.0,0
30,38,90,0.76,2.9,0
83,97,60,0.82,4.6,1
32,68,83,0.92,8.9,1
45,53,96,0.84,8.1,1
86,63,80,0.88,5.6,1
41,90,87,0.95,11.3,1
45,70,63,0.76,9.5,0
53,34,88,0.91,3.9,0
57,79,50,0.54,6.1,1
37,33,85,0.89,10.7,1
65,80,66,0.53,1.2,0
37,81,93,0.96,7.4,1
87,68,48,0.6,3.6,0
89,37,82,0.5,1.7,0
79,74,92,0.49,11.0,1
57,57,91,0.51,10.0,1
70,56,48,0.67,3.0,0
93,94,31,0.71,10.2,1
56,63,35,0.95,2.6,0
92,91,58,0.63,6.2,1
46,91,70,0.53,9.0,1
62,67,80,0.85,6.9,1
58,55,34,0.48,10.4,0
42,53,70,0.94,7.8,0
75,68,91,0.65,5.8,1
64,50,59,0.77,11.2,0
35,76,91,0.51,1.4,0
98,77,56,0.49,6.4,1
76,42,79,0.88,8.3,1
54,32,81,0.66,10.2,0
95,61,78,0.99,7.0,1
39,64,91,0.71,10.7,1
85,48,89,0.91,5.7,1
59,43,83,0.99,4.5,1
34,77,34,0.57,11.7,0
62,97,38,0.88,8.3,1
94,74,63,0.41,5.7,1
47,48,65,0.81,10.7,1
78,93,49,0.85,8.5,1
40,95,92,0.69,8.0,1
55,95,96,0.5,9.0,1
92,74,59,0.77,9.1,1
88,96,98,0.94,6.4,1
56,98,99,0.96,5.6,1
78,32,32,0.85,11.0,0
62,67,78,0.56,6.5,1
30,71,71,0.92,3.4,0
50,69,53,0.93,6.7,0
84,79,73,0.62,1.4,0
35,64,30,0.51,9.0,0
98,53,83,0.92,2.4,1
34,46,81,0.93,2.2,0
32,69,65,0.46,11.4,0
82,95,67,0.98,9.5,1
52,73,73,0.72,5.6,1
82,52,76,1.0,3.6,1
66,35,58,0.67,10.3,0
46,95,80,0.72,11.7,1
30,50,70,0.56,6.6,0
80,64,93,0.94,7.4,1
74,58,77,0.67,3.7,1
33,36,51,0.89,7.5,0
91,82,46,0.45,5.4,1
94,66,34,0.87,10.3,1
61,52,90,0.69,5.1,1
63,37,35,0.4,8.1,0
68,77,82,0.54,3.2,0
55,39,46,0.52,2.0,0
63,53,88,0.85,1.4,1
83,76,68,0.69,5.6,1
32,82,83,0.5,2.8,0
79,68,77,0.55,11.9,0
41,96,66,0.7,9.8,1
94,95,77,0.41,8.6,1
83,35,97,0.65,9.8,1
34,50,56,0.81,3.9,0
86,65,56,0.71,10.7,1
46,32,92,0.76,12.0,1
76,71,81,0.6,4.2,1
52,74,76,0.51,11.8,1
43,73,50,0.89,4.5,1
95,62,86,0.94,1.1,1
80,89,71,0.71,5.0,1
67,99,77,0.58,12.0,1
93,55,56,0.71,8.0,1
67,50,62,0.93,8.7,1
79,31,64,0.81,3.6,1
59,76,45,0.92,2.6,0
80,59,65,0.6,10.7,1
92,56,95,0.83,5.5,1
81,49,85,0.79,1.0,1
67,79,46,0.74,4.2,1
59,52,49,0.72,3.2,0
80,42,37,0.73,7.6,0
34,33,47,0.91,9.3,0
58,43,47,0.95,6.5,1
33,49,47,0.47,3.0,0
39,42,31,0.74,1.6,0
85,32,80,0.95,4.4,1
46,76,39,0.48,9.9,0
46,32,43,0.65,5.6,0
98,30,55,0.45,3.8,0
63,53,76,0.47,1.2,0
35,64,59,0.94,6.5,1
82,43,85,0.67,8.5,1
95,96,71,0.81,3.1,1
72,42,33,0.48,6.9,0
52,76,40,0.41,5.6,0
84,79,53,0.93,8.7,1
45,55,96,0.74,10.5,1
37,32,66,0.41,4.4,0
33,80,31,1.0,11.0,0
33,69,41,0.7,8.8,0
85,97,50,0.69,1.4,0
54,65,98,0.77,9.7,1
96,80,93,0.4,6.4,1
96,30,97,0.74,11.4,1
56,62,72,0.78,4.6,1
61,36,83,0.58,7.5,0
79,81,91,0.84,11.5,1
90,40,41,0.63,4.0,0
80,56,30,0.83,6.2,1
48,43,62,0.49,9.3,0
50,75,93,0.95,8.6,1
34,39,97,0.93,10.2,0
71,53,43,0.49,6.7,0
90,90,43,0.96,4.5,1
51,47,38,0.73,6.9,0
50,38,55,0.82,4.8,0
99,46,78,0.9,2.9,1
30,87,46,0.45,7.1,0
34,42,97,0.5,1.5,0
41,79,89,0.57,1.4,0
75,35,32,0.69,1.7,0
63,80,54,0.61,8.4,1
78,65,50,0.7,5.5,1
74,54,41,0.51,6.4,0
56,40,83,0.81,4.8,0
55,73,30,0.43,3.8,0
76,43,30,0.62,4.9,0
85,58,74,0.51,3.1,0
92,79,75,0.84,8.5,1
77,34,77,0.93,2.1,1
90,98,36,0.45,6.7,1
55,86,39,0.87,6.2,0
65,55,44,0.94,4.3,0
30,35,69,0.98,2.1,0
37,45,40,0.75,8.7,0
81,89,85,0.6,7.3,1
76,41,75,0.59,9.9,1
85,32,74,0.63,3.6,1
43,92,42,0.77,9.7,0
57,93,56,0.69,4.2,1
31,91,79,0.79,2.2,1
55,35,90,0.42,2.5,0
43,48,42,0.46,3.4,0
88,47,41,0.99,8.5,0
85,72,58,1.0,3.7,1
36,32,49,0.85,7.6,0
32,67,60,0.55,3.8,0
52,97,37,0.97,5.0,1
47,73,53,0.53,10.8,0
67,92,68,0.84,6.5,1
44,71,62,0.47,7.6,0
93,93,71,0.79,3.1,1
57,83,44,0.86,2.4,1
68,66,97,0.92,5.5,1
86,33,94,0.84,10.4,1
46,31,61,0.95,3.7,0
73,73,40,0.71,7.8,1
54,96,66,0.81,10.6,1
46,97,48,0.62,11.3,1
42,91,80,0.41,11.9,1
54,30,63,0.85,9.4,0
97,46,89,0.92,1.8,1
39,45,82,0.5,10.6,0
96,38,41,0.42,10.7,0
47,82,91,0.5,7.1,1
63,88,95,0.94,1.7,1
37,38,77,0.58,6.2,0
69,41,69,0.54,3.3,0
71,70,53,0.41,5.9,1
70,44,79,0.58,9.0,1
35,95,97,0.83,8.3,1
81,40,72,0.98,9.6,1
55,37,46,0.59,6.2,0
93,84,84,0.54,6.6,1
88,35,63,0.93,11.3,1
85,82,99,0.91,7.9,1
88,49,89,0.6,9.2,1
99,68,80,0.44,8.3,1
62,63,64,1.0,8.0,1
82,86,63,0.81,11.0,1
51,48,45,0.96,4.9,0
50,60,47,0.61,5.7,0
99,69,67,0.79,5.2,1
99,43,72,0.8,9.4,1
33,66,61,0.92,10.6,0
91,73,36,1.0,4.9,1
91,38,75,0.47,2.6,1
53,87,90,0.78,6.4,1
84,49,47,0.6,11.8,0
38,79,69,0.89,3.2,1
32,49,79,0.85,6.0,0
60,65,34,0.94,4.0,1
69,56,83,0.61,11.1,1
65,61,87,0.51,7.1,1
53,30,51,0.41,7.4,0
35,46,67,0.55,1.1,0
95,38,78,0.62,8.2,1
33,74,30,0.97,4.4,0
35,95,65,0.69,6.6,0
80,61,57,0.73,6.8,1
91,74,64,0.93,7.5,1
86,38,89,0.93,10.1,1
95,59,91,0.72,4.3,1
37,67,75,0.47,3.8,0
55,89,90,0.56,9.8,1
80,30,94,0.67,8.9,1
74,34,55,0.85,3.5,0
73,92,64,0.83,1.0,1
34,65,86,0.79,8.3,1
99,94,92,0.93,2.7,1
55,53,33,0.88,11.5,0
97,33,71,0.99,7.6,1
48,97,74,0.93,10.3,1
49,54,68,0.52,9.9,0
41,36,94,0.43,7.1,0
76,42,51,0.65,5.8,0
30,97,40,0.77,6.5,0
43,72,66,0.79,9.8,1
93,86,80,0.56,8.0,1
67,65,87,0.92,3.3,1
66,43,36,0.6,7.7,0
40,56,37,0.95,5.5,0
32,66,80,0.68,1.7,0
62,54,52,0.41,5.2,0
35,96,38,0.5,3.5,0
79,33,75,0.46,10.2,1
39,45,67,0.43,2.2,0
34,48,42,0.83,5.0,1
52,58,36,0.52,8.7,0
39,80,40,0.9,10.9,0
73,47,79,0.56,4.7,1
31,87,96,0.42,7.7,1
42,73,70,0.89,5.1,1
69,45,58,0.68,3.2,0
31,94,66,0.76,4.6,1
94,31,85,0.6,8.0,1
92,85,45,0.43,8.9,1
46,57,73,0.62,5.1,0
38,94,79,0.71,2.7,1
44,34,35,0.41,2.5,0
53,51,47,0.74,9.9,0
67,42,48,0.94,8.2,1
64,94,80,0.53,9.0,1
78,45,95,0.96,6.4,1
98,93,32,0.46,6.0,1
91,61,83,0.9,3.3,1
89,80,78,0.9,2.9,1
79,87,57,0.55,2.7,0
38,75,67,0.97,11.9,0
63,81,57,0.65,10.0,1
64,92,61,0.48,7.9,1
30,89,70,0.76,3.4,1
69,94,65,1.0,4.7,1
93,84,65,0.94,4.9,1
51,86,95,0.57,6.3,1
89,55,39,0.75,5.6,1
93,41,99,0.47,11.3,1
40,75,92,0.68,8.9,1
43,76,51,0.71,1.9,0
89,67,49,0.59,5.0,1
59,50,62,0.69,2.5,0
64,43,44,0.95,4.1,0
66,31,36,0.7,11.5,0
34,99,79,0.9,8.8,1
55,62,39,0.59,1.1,0
91,35,66,0.98,4.6,1
33,66,88,0.46,5.8,1
71,43,92,0.75,7.6,1
47,66,50,0.87,6.5,0
69,37,66,0.89,1.8,0
68,42,74,0.52,6.7,0
43,69,43,0.64,2.4,0
61,87,72,0.77,6.7,1
80,47,62,0.59,3.7,1
67,86,32,0.79,2.6,1
52,67,73,0.63,4.2,1
92,61,64,0.61,2.1,0
44,95,54,0.46,4.1,1
54,54,37,0.42,10.5,0
46,87,91,0.9,4.4,1
95,62,47,0.69,6.2,1
82,95,57,0.74,6.7,1
80,59,41,0.62,3.0,0
68,63,93,0.48,5.9,1
80,98,31,0.67,10.4,1
99,77,88,0.54,1.9,0
35,69,66,0.9,11.2,0
96,80,33,0.99,10.6,1
36,42,70,0.93,10.4,0
80,60,74,0.72,3.2,1
71,68,63,0.78,6.3,1
93,92,42,0.97,7.8,1
44,77,36,0.72,2.1,0
58,77,61,0.78,7.1,1
62,90,52,0.78,10.2,1
56,41,78,0.82,11.3,0
65,85,76,0.78,4.1,1
58,47,66,0.8,4.2,0
67,56,77,0.84,4.0,1
86,57,58,0.89,2.7,1
56,81,66,0.64,5.7,1
84,45,52,0.85,9.6,1
62,87,67,0.46,8.8,1
97,38,73,0.93,10.9,1
95,55,34,0.57,4.9,1
39,57,81,0.64,7.3,0
34,65,69,0.88,9.4,0
67,38,40,0.78,10.9,0
42,76,31,0.59,10.6,0
60,80,64,0.54,6.1,1
76,86,74,0.97,11.0,1
81,61,78,0.45,5.9,1
85,96,64,0.4,10.9,0
44,86,61,0.8,9.5,1
58,83,97,0.77,3.4,1
37,45,68,0.84,11.2,0
34,91,77,0.84,3.7,1
58,85,66,0.92,11.0,1
76,52,89,0.95,7.8,1
97,46,33,0.87,8.3,0
74,67,52,0.54,2.2,0
31,59,43,0.68,1.7,0
56,87,34,0.79,11.7,0
65,51,95,0.72,4.7,1
65,46,53,0.5,10.3,0
55,44,47,0.75,8.7,0
72,77,56,0.93,7.6,1
